Pitch	Yaw	Percent Shaded
72	72	 0.163793 
72	69	 0.948276 
72	66	 0.913793 
72	63	 0.87931 
72	60	 0.844828 
72	57	 0.810345 
72	54	 0.801724 
72	51	 0.775862 
72	48	 0.75 
72	45	 0.732759 
72	42	 0.724138 
72	39	 0.706897 
72	36	 0.689655 
72	33	 0.681034 
72	30	 0.663793 
72	27	 0.663793 
72	24	 0.663793 
72	21	 0.663793 
72	18	 0.663793 
72	15	 0.663793 
72	12	 0.663793 
72	9	 0.663793 
72	6	 0.663793 
72	3	 0.663793 
72	0	 0.663793 
72	-3	 0.663793 
72	-6	 0.663793 
72	-9	 0.663793 
72	-12	 0.663793 
72	-15	 0.663793 
72	-18	 0.663793 
72	-21	 0.663793 
72	-24	 0.663793 
72	-27	 0.663793 
72	-30	 0.663793 
72	-33	 0.663793 
72	-36	 0.663793 
72	-39	 0.681034 
72	-42	 0.698276 
72	-45	 0.706897 
72	-48	 0.724138 
72	-51	 0.732759 
72	-54	 0.75 
72	-57	 0.767241 
72	-60	 0.793103 
72	-63	 0.818966 
72	-66	 0.844828 
72	-69	 0.87931 
72	-72	 0.896552 
69	72	 0.922414 
69	69	 0.905172 
69	66	 0.87069 
69	63	 0.827586 
69	60	 0.801724 
69	57	 0.775862 
69	54	 0.767241 
69	51	 0.732759 
69	48	 0.715517 
69	45	 0.698276 
69	42	 0.689655 
69	39	 0.672414 
69	36	 0.655172 
69	33	 0.637931 
69	30	 0.62069 
69	27	 0.62069 
69	24	 0.62069 
69	21	 0.62069 
69	18	 0.62069 
69	15	 0.62069 
69	12	 0.62069 
69	9	 0.62069 
69	6	 0.62069 
69	3	 0.62069 
69	0	 0.62069 
69	-3	 0.62069 
69	-6	 0.62069 
69	-9	 0.62069 
69	-12	 0.62069 
69	-15	 0.62069 
69	-18	 0.62069 
69	-21	 0.62069 
69	-24	 0.62069 
69	-27	 0.62069 
69	-30	 0.62069 
69	-33	 0.62069 
69	-36	 0.62069 
69	-39	 0.637931 
69	-42	 0.655172 
69	-45	 0.672414 
69	-48	 0.689655 
69	-51	 0.698276 
69	-54	 0.715517 
69	-57	 0.732759 
69	-60	 0.75 
69	-63	 0.775862 
69	-66	 0.793103 
69	-69	 0.827586 
69	-72	 0.862069 
66	72	 0.887931 
66	69	 0.87931 
66	66	 0.836207 
66	63	 0.801724 
66	60	 0.775862 
66	57	 0.758621 
66	54	 0.741379 
66	51	 0.698276 
66	48	 0.681034 
66	45	 0.663793 
66	42	 0.646552 
66	39	 0.62931 
66	36	 0.603448 
66	33	 0.586207 
66	30	 0.568966 
66	27	 0.568966 
66	24	 0.568966 
66	21	 0.568966 
66	18	 0.568966 
66	15	 0.568966 
66	12	 0.568966 
66	9	 0.568966 
66	6	 0.568966 
66	3	 0.568966 
66	0	 0.568966 
66	-3	 0.568966 
66	-6	 0.568966 
66	-9	 0.568966 
66	-12	 0.568966 
66	-15	 0.568966 
66	-18	 0.568966 
66	-21	 0.568966 
66	-24	 0.568966 
66	-27	 0.568966 
66	-30	 0.568966 
66	-33	 0.568966 
66	-36	 0.568966 
66	-39	 0.586207 
66	-42	 0.603448 
66	-45	 0.62069 
66	-48	 0.637931 
66	-51	 0.655172 
66	-54	 0.672414 
66	-57	 0.689655 
66	-60	 0.706897 
66	-63	 0.741379 
66	-66	 0.758621 
66	-69	 0.775862 
66	-72	 0.818966 
63	72	 0.844828 
63	69	 0.853448 
63	66	 0.793103 
63	63	 0.767241 
63	60	 0.732759 
63	57	 0.706897 
63	54	 0.689655 
63	51	 0.646552 
63	48	 0.62931 
63	45	 0.603448 
63	42	 0.586207 
63	39	 0.568966 
63	36	 0.543103 
63	33	 0.525862 
63	30	 0.5 
63	27	 0.5 
63	24	 0.5 
63	21	 0.5 
63	18	 0.5 
63	15	 0.5 
63	12	 0.5 
63	9	 0.5 
63	6	 0.5 
63	3	 0.5 
63	0	 0.5 
63	-3	 0.5 
63	-6	 0.5 
63	-9	 0.5 
63	-12	 0.5 
63	-15	 0.5 
63	-18	 0.5 
63	-21	 0.5 
63	-24	 0.5 
63	-27	 0.5 
63	-30	 0.5 
63	-33	 0.5 
63	-36	 0.5 
63	-39	 0.517241 
63	-42	 0.543103 
63	-45	 0.560345 
63	-48	 0.586207 
63	-51	 0.603448 
63	-54	 0.62069 
63	-57	 0.646552 
63	-60	 0.663793 
63	-63	 0.706897 
63	-66	 0.724138 
63	-69	 0.75 
63	-72	 0.793103 
60	72	 0.810345 
60	69	 0.836207 
60	66	 0.775862 
60	63	 0.741379 
60	60	 0.706897 
60	57	 0.681034 
60	54	 0.663793 
60	51	 0.612069 
60	48	 0.594828 
60	45	 0.568966 
60	42	 0.551724 
60	39	 0.525862 
60	36	 0.5 
60	33	 0.482759 
60	30	 0.456897 
60	27	 0.456897 
60	24	 0.456897 
60	21	 0.456897 
60	18	 0.456897 
60	15	 0.456897 
60	12	 0.456897 
60	9	 0.456897 
60	6	 0.456897 
60	3	 0.456897 
60	0	 0.456897 
60	-3	 0.456897 
60	-6	 0.456897 
60	-9	 0.456897 
60	-12	 0.456897 
60	-15	 0.456897 
60	-18	 0.456897 
60	-21	 0.456897 
60	-24	 0.456897 
60	-27	 0.456897 
60	-30	 0.456897 
60	-33	 0.456897 
60	-36	 0.456897 
60	-39	 0.482759 
60	-42	 0.508621 
60	-45	 0.525862 
60	-48	 0.551724 
60	-51	 0.568966 
60	-54	 0.594828 
60	-57	 0.62069 
60	-60	 0.637931 
60	-63	 0.681034 
60	-66	 0.706897 
60	-69	 0.732759 
60	-72	 0.775862 
57	72	 0.793103 
57	69	 0.827586 
57	66	 0.758621 
57	63	 0.724138 
57	60	 0.681034 
57	57	 0.655172 
57	54	 0.637931 
57	51	 0.586207 
57	48	 0.560345 
57	45	 0.534483 
57	42	 0.517241 
57	39	 0.491379 
57	36	 0.465517 
57	33	 0.439655 
57	30	 0.413793 
57	27	 0.413793 
57	24	 0.413793 
57	21	 0.413793 
57	18	 0.413793 
57	15	 0.413793 
57	12	 0.413793 
57	9	 0.413793 
57	6	 0.413793 
57	3	 0.413793 
57	0	 0.413793 
57	-3	 0.413793 
57	-6	 0.413793 
57	-9	 0.413793 
57	-12	 0.413793 
57	-15	 0.413793 
57	-18	 0.413793 
57	-21	 0.413793 
57	-24	 0.413793 
57	-27	 0.413793 
57	-30	 0.413793 
57	-33	 0.413793 
57	-36	 0.413793 
57	-39	 0.439655 
57	-42	 0.465517 
57	-45	 0.491379 
57	-48	 0.517241 
57	-51	 0.534483 
57	-54	 0.560345 
57	-57	 0.586207 
57	-60	 0.612069 
57	-63	 0.655172 
57	-66	 0.681034 
57	-69	 0.706897 
57	-72	 0.758621 
54	72	 0.775862 
54	69	 0.818966 
54	66	 0.741379 
54	63	 0.706897 
