Pitch	Yaw	Percent Shaded
72	72	1
72	69	1
72	66	1
72	63	1
72	60	1
72	57	1
72	54	0.991379
72	51	0.982759
72	48	0.982759
72	45	0.982759
72	42	0.982759
72	39	0.974138
72	36	0.974138
72	33	0.974138
72	30	0.965517
72	27	0.965517
72	24	0.965517
72	21	0.965517
72	18	0.965517
72	15	0.965517
72	12	0.965517
72	9	0.965517
72	6	0.974138
72	3	0.974138
72	0	0.956897
72	-3	0.974138
72	-6	0.965517
72	-9	0.974138
72	-12	0.965517
72	-15	0.965517
72	-18	0.965517
72	-21	0.965517
72	-24	0.965517
72	-27	0.982759
72	-30	0.982759
72	-33	0.982759
72	-36	0.982759
72	-39	0.982759
72	-42	0.982759
72	-45	0.982759
72	-48	0.982759
72	-51	0.991379
72	-54	0.991379
72	-57	1
72	-60	1
72	-63	1
72	-66	1
72	-69	1
72	-72	1
69	72	1
69	69	1
69	66	1
69	63	1
69	60	1
69	57	0.982759
69	54	0.982759
69	51	0.982759
69	48	0.974138
69	45	0.974138
69	42	0.965517
69	39	0.956897
69	36	0.956897
69	33	0.956897
69	30	0.948276
69	27	0.948276
69	24	0.939655
69	21	0.931034
69	18	0.931034
69	15	0.931034
69	12	0.931034
69	9	0.931034
69	6	0.922414
69	3	0.913793
69	0	0.913793
69	-3	0.913793
69	-6	0.922414
69	-9	0.931034
69	-12	0.931034
69	-15	0.931034
69	-18	0.939655
69	-21	0.948276
69	-24	0.948276
69	-27	0.948276
69	-30	0.948276
69	-33	0.948276
69	-36	0.956897
69	-39	0.965517
69	-42	0.974138
69	-45	0.974138
69	-48	0.982759
69	-51	0.982759
69	-54	0.982759
69	-57	0.991379
69	-60	0.991379
69	-63	1
69	-66	1
69	-69	1
69	-72	1
66	72	1
66	69	1
66	66	1
66	63	1
66	60	0.982759
66	57	0.982759
66	54	0.982759
66	51	0.974138
66	48	0.965517
66	45	0.956897
66	42	0.948276
66	39	0.939655
66	36	0.939655
66	33	0.931034
66	30	0.922414
66	27	0.922414
66	24	0.913793
66	21	0.905172
66	18	0.887931
66	15	0.896552
66	12	0.87931
66	9	0.87931
66	6	0.862069
66	3	0.862069
66	0	0.87069
66	-3	0.862069
66	-6	0.87069
66	-9	0.87069
66	-12	0.887931
66	-15	0.896552
66	-18	0.905172
66	-21	0.913793
66	-24	0.913793
66	-27	0.922414
66	-30	0.948276
66	-33	0.948276
66	-36	0.948276
66	-39	0.948276
66	-42	0.956897
66	-45	0.965517
66	-48	0.965517
66	-51	0.974138
66	-54	0.982759
66	-57	0.982759
66	-60	0.991379
66	-63	1
66	-66	1
66	-69	1
66	-72	1
63	72	1
63	69	1
63	66	1
63	63	0.982759
63	60	0.982759
63	57	0.982759
63	54	0.965517
63	51	0.956897
63	48	0.948276
63	45	0.939655
63	42	0.931034
63	39	0.913793
63	36	0.905172
63	33	0.896552
63	30	0.887931
63	27	0.87931
63	24	0.87931
63	21	0.87931
63	18	0.853448
63	15	0.844828
63	12	0.827586
63	9	0.818966
63	6	0.818966
63	3	0.810345
63	0	0.818966
63	-3	0.810345
63	-6	0.810345
63	-9	0.810345
63	-12	0.827586
63	-15	0.836207
63	-18	0.844828
63	-21	0.862069
63	-24	0.87931
63	-27	0.887931
63	-30	0.887931
63	-33	0.887931
63	-36	0.913793
63	-39	0.922414
63	-42	0.931034
63	-45	0.939655
63	-48	0.948276
63	-51	0.965517
63	-54	0.974138
63	-57	0.974138
63	-60	0.982759
63	-63	0.991379
63	-66	1
63	-69	1
63	-72	1
60	72	1
60	69	1
60	66	0.982759
60	63	0.982759
60	60	0.982759
60	57	0.965517
60	54	0.956897
60	51	0.939655
60	48	0.931034
60	45	0.913793
60	42	0.913793
60	39	0.887931
60	36	0.87931
60	33	0.862069
60	30	0.853448
60	27	0.844828
60	24	0.818966
60	21	0.810345
60	18	0.793103
60	15	0.775862
60	12	0.767241
60	9	0.758621
60	6	0.767241
60	3	0.758621
60	0	0.75
60	-3	0.758621
60	-6	0.758621
60	-9	0.758621
60	-12	0.767241
60	-15	0.775862
60	-18	0.793103
60	-21	0.810345
60	-24	0.827586
60	-27	0.827586
60	-30	0.887931
60	-33	0.887931
60	-36	0.887931
60	-39	0.896552
60	-42	0.913793
60	-45	0.922414
60	-48	0.931034
60	-51	0.939655
60	-54	0.956897
60	-57	0.974138
60	-60	0.974138
60	-63	0.982759
60	-66	0.991379
60	-69	1
60	-72	1
57	72	1
57	69	1
57	66	0.982759
57	63	0.982759
57	60	0.965517
57	57	0.948276
57	54	0.931034
57	51	0.922414
57	48	0.905172
57	45	0.887931
57	42	0.887931
57	39	0.862069
57	36	0.844828
57	33	0.827586
57	30	0.810345
57	27	0.793103
57	24	0.767241
57	21	0.741379
57	18	0.741379
57	15	0.715517
57	12	0.724138
57	9	0.706897
57	6	0.706897
57	3	0.698276
57	0	0.706897
57	-3	0.706897
57	-6	0.706897
57	-9	0.715517
57	-12	0.715517
57	-15	0.724138
57	-18	0.732759
57	-21	0.758621
57	-24	0.767241
57	-27	0.801724
57	-30	0.810345
57	-33	0.810345
57	-36	0.844828
57	-39	0.862069
57	-42	0.87069
57	-45	0.896552
57	-48	0.913793
57	-51	0.922414
57	-54	0.939655
57	-57	0.956897
57	-60	0.956897
57	-63	0.974138
57	-66	0.991379
57	-69	0.991379
57	-72	1
54	72	1
54	69	1
54	66	0.982759
54	63	0.974138
54	60	0.948276
54	57	0.939655
54	54	0.922414
54	51	0.905172
54	48	0.887931
54	45	0.862069
54	42	0.836207
54	39	0.827586
54	36	0.793103
54	33	0.784483
54	30	0.767241
54	27	0.741379
54	24	0.724138
54	21	0.672414
54	18	0.681034
54	15	0.672414
54	12	0.672414
54	9	0.655172
54	6	0.646552
54	3	0.646552
54	0	0.663793
54	-3	0.646552
54	-6	0.655172
54	-9	0.663793
54	-12	0.663793
54	-15	0.663793
54	-18	0.681034
54	-21	0.689655
54	-24	0.706897
54	-27	0.724138
54	-30	0.732759
54	-33	0.810345
54	-36	0.810345
54	-39	0.818966
54	-42	0.844828
54	-45	0.862069
54	-48	0.87931
54	-51	0.905172
54	-54	0.913793
54	-57	0.939655
54	-60	0.956897
54	-63	0.965517
54	-66	0.974138
54	-69	0.991379
54	-72	1
51	72	1
51	69	1
51	66	0.982759
51	63	0.956897
51	60	0.948276
51	57	0.922414
51	54	0.896552
51	51	0.87069
51	48	0.853448
51	45	0.836207
51	42	0.801724
51	39	0.784483
51	36	0.75
51	33	0.732759
51	30	0.715517
51	27	0.698276
51	24	0.689655
51	21	0.637931
51	18	0.62931
51	15	0.62069
51	12	0.603448
51	9	0.603448
51	6	0.586207
51	3	0.594828
51	0	0.586207
51	-3	0.594828
51	-6	0.586207
51	-9	0.603448
51	-12	0.603448
51	-15	0.612069
51	-18	0.62069
51	-21	0.637931
51	-24	0.646552
51	-27	0.663793
51	-30	0.706897
51	-33	0.706897
51	-36	0.732759
51	-39	0.767241
51	-42	0.784483
51	-45	0.818966
51	-48	0.844828
51	-51	0.862069
51	-54	0.887931
51	-57	0.913793
51	-60	0.939655
51	-63	0.956897
51	-66	0.965517
51	-69	0.982759
51	-72	0.991379
48	72	1
48	69	1
48	66	0.965517
48	63	0.956897
48	60	0.931034
48	57	0.905172
48	54	0.87931
48	51	0.853448
48	48	0.818966
48	45	0.810345
48	42	0.767241
48	39	0.75
48	36	0.715517
48	33	0.698276
48	30	0.663793
48	27	0.637931
48	24	0.62069
48	21	0.577586
48	18	0.568966
48	15	0.551724
48	12	0.543103
48	9	0.551724
48	6	0.543103
48	3	0.543103
48	0	0.543103
48	-3	0.534483
48	-6	0.534483
48	-9	0.543103
48	-12	0.543103
48	-15	0.551724
48	-18	0.568966
48	-21	0.577586
48	-24	0.586207
48	-27	0.612069
48	-30	0.612069
48	-33	0.637931
48	-36	0.706897
48	-39	0.715517
48	-42	0.75
48	-45	0.767241
48	-48	0.801724
48	-51	0.827586
48	-54	0.862069
48	-57	0.87931
48	-60	0.913793
48	-63	0.931034
48	-66	0.956897
48	-69	0.965517
48	-72	0.991379
45	72	1
45	69	1
45	66	0.965517
45	63	0.956897
45	60	0.913793
45	57	0.887931
45	54	0.853448
45	51	0.836207
45	48	0.801724
45	45	0.775862
45	42	0.732759
45	39	0.715517
45	36	0.681034
45	33	0.655172
45	30	0.62069
45	27	0.577586
45	24	0.560345
45	21	0.525862
45	18	0.508621
45	15	0.5
45	12	0.491379
45	9	0.491379
45	6	0.474138
45	3	0.474138
45	0	0.465517
45	-3	0.482759
45	-6	0.482759
45	-9	0.482759
45	-12	0.482759
45	-15	0.5
45	-18	0.5
45	-21	0.525862
45	-24	0.534483
45	-27	0.551724
45	-30	0.577586
45	-33	0.603448
45	-36	0.612069
45	-39	0.655172
45	-42	0.689655
45	-45	0.724138
45	-48	0.75
45	-51	0.793103
45	-54	0.818966
45	-57	0.844828
45	-60	0.87931
45	-63	0.913793
45	-66	0.931034
45	-69	0.956897
45	-72	0.974138
42	72	1
42	69	1
42	66	0.965517
42	63	0.931034
42	60	0.905172
42	57	0.87931
42	54	0.844828
42	51	0.810345
42	48	0.775862
42	45	0.741379
42	42	0.706897
42	39	0.681034
42	36	0.637931
42	33	0.612069
42	30	0.577586
42	27	0.517241
42	24	0.5
42	21	0.465517
42	18	0.456897
42	15	0.448276
42	12	0.439655
42	9	0.431034
42	6	0.431034
42	3	0.413793
42	0	0.413793
42	-3	0.422414
42	-6	0.431034
42	-9	0.431034
42	-12	0.431034
42	-15	0.448276
42	-18	0.456897
42	-21	0.465517
42	-24	0.474138
42	-27	0.491379
42	-30	0.517241
42	-33	0.517241
42	-36	0.568966
42	-39	0.62069
42	-42	0.62931
42	-45	0.672414
42	-48	0.698276
42	-51	0.732759
42	-54	0.775862
42	-57	0.818966
42	-60	0.844828
42	-63	0.887931
42	-66	0.905172
42	-69	0.948276
42	-72	0.965517
39	72	1
39	69	1
39	66	0.948276
39	63	0.931034
39	60	0.887931
39	57	0.862069
39	54	0.818966
39	51	0.784483
39	48	0.75
39	45	0.715517
39	42	0.672414
39	39	0.646552
39	36	0.603448
39	33	0.568966
39	30	0.534483
39	27	0.5
39	24	0.448276
39	21	0.405172
39	18	0.396552
39	15	0.387931
39	12	0.37069
39	9	0.37069
39	6	0.37069
39	3	0.37069
39	0	0.37931
39	-3	0.37069
39	-6	0.37069
39	-9	0.37069
39	-12	0.362069
39	-15	0.37931
39	-18	0.387931
39	-21	0.405172
39	-24	0.413793
39	-27	0.439655
39	-30	0.448276
39	-33	0.465517
39	-36	0.508621
39	-39	0.525862
39	-42	0.568966
39	-45	0.612069
39	-48	0.637931
39	-51	0.681034
39	-54	0.732759
39	-57	0.767241
39	-60	0.801724
39	-63	0.844828
39	-66	0.887931
39	-69	0.913793
39	-72	0.948276
36	72	1
36	69	1
36	66	0.948276
36	63	0.931034
36	60	0.87931
36	57	0.853448
36	54	0.801724
36	51	0.758621
36	48	0.724138
36	45	0.681034
36	42	0.62931
36	39	0.603448
36	36	0.551724
36	33	0.517241
36	30	0.474138
36	27	0.448276
36	24	0.396552
36	21	0.353448
36	18	0.327586
36	15	0.327586
36	12	0.318966
36	9	0.318966
36	6	0.318966
36	3	0.318966
36	0	0.293103
36	-3	0.310345
36	-6	0.310345
36	-9	0.318966
36	-12	0.327586
36	-15	0.327586
36	-18	0.327586
36	-21	0.336207
36	-24	0.362069
36	-27	0.37069
36	-30	0.37931
36	-33	0.405172
36	-36	0.431034
36	-39	0.482759
36	-42	0.534483
36	-45	0.551724
36	-48	0.594828
36	-51	0.62069
36	-54	0.672414
36	-57	0.706897
36	-60	0.758621
36	-63	0.801724
36	-66	0.844828
36	-69	0.887931
36	-72	0.931034
33	72	1
33	69	1
33	66	0.948276
33	63	0.913793
33	60	0.862069
33	57	0.827586
33	54	0.784483
33	51	0.741379
33	48	0.689655
33	45	0.655172
33	42	0.594828
33	39	0.577586
33	36	0.508621
33	33	0.465517
33	30	0.422414
33	27	0.396552
33	24	0.353448
33	21	0.293103
33	18	0.275862
33	15	0.267241
33	12	0.267241
33	9	0.258621
33	6	0.258621
33	3	0.25
33	0	0.25
33	-3	0.258621
33	-6	0.267241
33	-9	0.258621
33	-12	0.267241
33	-15	0.275862
33	-18	0.284483
33	-21	0.293103
33	-24	0.293103
33	-27	0.310345
33	-30	0.327586
33	-33	0.344828
33	-36	0.37931
33	-39	0.431034
33	-42	0.448276
33	-45	0.482759
33	-48	0.543103
33	-51	0.568966
33	-54	0.62931
33	-57	0.663793
33	-60	0.715517
33	-63	0.75
33	-66	0.801724
33	-69	0.862069
33	-72	0.896552
30	72	1
30	69	1
30	66	0.939655
30	63	0.905172
30	60	0.853448
30	57	0.818966
30	54	0.758621
30	51	0.724138
30	48	0.663793
30	45	0.62931
30	42	0.568966
30	39	0.543103
30	36	0.482759
30	33	0.413793
30	30	0.37069
30	27	0.336207
30	24	0.301724
30	21	0.241379
30	18	0.224138
30	15	0.215517
30	12	0.215517
30	9	0.206897
30	6	0.206897
30	3	0.206897
30	0	0.206897
30	-3	0.206897
