Pitch	Yaw	Percent Shaded
72	72	 11 
72	69	 10 
72	66	 0.965517 
72	63	 0.956897 
72	60	 0.931034 
72	57	 0.913793 
72	54	 0.887931 
72	51	 0.87069 
72	48	 0.844828 
72	45	 0.827586 
72	42	 0.801724 
72	39	 0.793103 
72	36	 0.758621 
72	33	 0.75 
72	30	 0.724138 
72	27	 0.706897 
72	24	 0.681034 
72	21	 0.663793 
72	18	 0.663793 
72	15	 0.663793 
72	12	 0.663793 
72	9	 0.663793 
72	6	 0.663793 
72	3	 0.663793 
72	0	 0.663793 
72	-3	 0.663793 
72	-6	 0.663793 
72	-9	 0.663793 
72	-12	 0.663793 
72	-15	 0.663793 
72	-18	 0.663793 
72	-21	 0.663793 
72	-24	 0.663793 
72	-27	 0.663793 
72	-30	 0.663793 
72	-33	 0.672414 
72	-36	 0.689655 
72	-39	 0.715517 
72	-42	 0.732759 
72	-45	 0.758621 
72	-48	 0.784483 
72	-51	 0.810345 
72	-54	 0.836207 
72	-57	 0.862069 
72	-60	 0.887931 
72	-63	 0.905172 
72	-66	 0.931034 
72	-69	 21.948276 
72	-72	 22 
69	72	 1 
69	69	 1 
69	66	 0.965517 
69	63	 0.948276 
69	60	 0.922414 
69	57	 0.905172 
69	54	 0.87069 
69	51	 0.853448 
69	48	 0.827586 
69	45	 0.810345 
69	42	 0.775862 
69	39	 0.767241 
69	36	 0.732759 
69	33	 0.715517 
69	30	 0.689655 
69	27	 0.672414 
69	24	 0.646552 
69	21	 0.62069 
69	18	 0.62069 
69	15	 0.62069 
69	12	 0.62069 
69	9	 0.62069 
69	6	 0.62069 
69	3	 0.62069 
69	0	 0.62069 
69	-3	 0.62069 
69	-6	 0.62069 
69	-9	 0.62069 
69	-12	 0.62069 
69	-15	 0.62069 
69	-18	 0.62069 
69	-21	 0.62069 
69	-24	 0.62069 
69	-27	 0.62069 
69	-30	 0.62069 
69	-33	 0.62069 
69	-36	 0.637931 
69	-39	 0.663793 
69	-42	 0.672414 
69	-45	 0.698276 
69	-48	 0.715517 
69	-51	 0.741379 
69	-54	 0.775862 
69	-57	 0.801724 
69	-60	 0.827586 
69	-63	 0.862069 
69	-66	 0.887931 
69	-69	 0.913793 
69	-72	 0.939655 
66	72	 1 
66	69	 1 
66	66	 0.965517 
66	63	 0.948276 
66	60	 0.913793 
66	57	 0.896552 
66	54	 0.862069 
66	51	 0.844828 
66	48	 0.810345 
66	45	 0.793103 
66	42	 0.758621 
66	39	 0.741379 
66	36	 0.698276 
66	33	 0.681034 
66	30	 0.646552 
66	27	 0.62931 
66	24	 0.594828 
66	21	 0.568966 
66	18	 0.568966 
66	15	 0.568966 
66	12	 0.568966 
66	9	 0.568966 
66	6	 0.568966 
66	3	 0.568966 
66	0	 0.568966 
66	-3	 0.568966 
66	-6	 0.568966 
66	-9	 0.568966 
66	-12	 0.568966 
66	-15	 0.568966 
66	-18	 0.568966 
66	-21	 0.568966 
66	-24	 0.568966 
66	-27	 0.568966 
66	-30	 0.568966 
66	-33	 0.568966 
66	-36	 0.586207 
66	-39	 0.603448 
66	-42	 0.62069 
66	-45	 0.637931 
66	-48	 0.655172 
66	-51	 0.672414 
66	-54	 0.706897 
66	-57	 0.732759 
66	-60	 0.758621 
66	-63	 0.793103 
66	-66	 0.844828 
66	-69	 0.87069 
66	-72	 0.905172 
63	72	 1 
