Pitch	Yaw	Percent Shaded
0	-72	 1 
72	72	 1 
72	69	 1 
72	66	 1 
72	63	 1 
72	60	 1 
72	57	 1 
72	54	 1 
72	51	 1 
72	48	 1 
72	45	 1 
72	42	 1 
72	39	 1 
72	36	 1 
72	33	 1 
72	30	 1 
72	27	 1 
72	24	 1 
72	21	 1 
72	18	 1 
72	15	 1 
72	12	 1 
72	9	 1 
72	6	 1 
72	3	 1 
72	0	 1 
72	-3	 1 
72	-6	 1 
72	-9	 1 
72	-12	 1 
72	-15	 1 
72	-18	 1 
72	-21	 1 
72	-24	 1 
72	-27	 1 
72	-30	 1 
72	-33	 1 
72	-36	 1 
72	-39	 1 
72	-42	 1 
72	-45	 1 
72	-48	 1 
72	-51	 1 
72	-54	 1 
72	-57	 1 
72	-60	 1 
72	-63	 1 
72	-66	 1 
72	-69	 1 
72	-72	 1 
69	72	 1 
69	69	 1 
69	66	 1 
69	63	 1 
69	60	 1 
69	57	 1 
69	54	 1 
69	51	 1 
69	48	 1 
69	45	 1 
69	42	 1 
69	39	 1 
69	36	 1 
69	33	 1 
69	30	 1 
69	27	 1 
69	24	 1 
69	21	 1 
69	18	 1 
69	15	 1 
69	12	 1 
69	9	 1 
69	6	 1 
69	3	 1 
69	0	 1 
69	-3	 1 
69	-6	 1 
69	-9	 1 
69	-12	 1 
69	-15	 1 
69	-18	 1 
69	-21	 1 
69	-24	 1 
69	-27	 1 
69	-30	 1 
69	-33	 1 
69	-36	 1 
69	-39	 1 
69	-42	 1 
69	-45	 1 
69	-48	 1 
69	-51	 1 
69	-54	 1 
69	-57	 1 
69	-60	 1 
69	-63	 1 
69	-66	 1 
69	-69	 1 
69	-72	 1 
66	72	 1 
66	69	 1 
66	66	 1 
66	63	 1 
66	60	 1 
66	57	 1 
66	54	 1 
66	51	 1 
66	48	 1 
66	45	 1 
66	42	 1 
66	39	 1 
66	36	 1 
66	33	 1 
66	30	 0.991379 
66	27	 0.991379 
66	24	 0.991379 
66	21	 0.991379 
66	18	 0.991379 
66	15	 0.982759 
66	12	 0.982759 
66	9	 0.982759 
66	6	 0.982759 
66	3	 0.982759 
66	0	 0.982759 
66	-3	 0.982759 
66	-6	 0.982759 
66	-9	 0.974138 
66	-12	 0.974138 
66	-15	 0.982759 
66	-18	 0.982759 
66	-21	 0.982759 
66	-24	 0.982759 
66	-27	 1 
66	-30	 1 
66	-33	 1 
66	-36	 1 
66	-39	 1 
66	-42	 1 
66	-45	 1 
66	-48	 1 
66	-51	 1 
66	-54	 1 
66	-57	 1 
66	-60	 1 
66	-63	 1 
66	-66	 1 
66	-69	 1 
66	-72	 1 
63	72	 1 
63	69	 1 
63	66	 1 
63	63	 1 
63	60	 1 
63	57	 1 
63	54	 1 
63	51	 1 
63	48	 1 
63	45	 1 
63	42	 0.982759 
63	39	 0.974138 
63	36	 0.965517 
63	33	 0.956897 
63	30	 0.939655 
63	27	 0.922414 
63	24	 0.887931 
63	21	 0.87931 
63	18	 0.853448 
63	15	 0.827586 
63	12	 0.810345 
63	9	 0.784483 
63	6	 0.784483 
63	3	 0.784483 
63	0	 0.793103 
63	-3	 0.784483 
63	-6	 0.793103 
63	-9	 0.801724 
63	-12	 0.818966 
63	-15	 0.827586 
63	-18	 0.862069 
63	-21	 0.87931 
63	-24	 0.887931 
63	-27	 0.939655 
63	-30	 1 
63	-33	 0.948276 
63	-36	 0.974138 
63	-39	 0.982759 
63	-42	 0.982759 
63	-45	 1 
63	-48	 1 
63	-51	 1 
63	-54	 1 
63	-57	 1 
63	-60	 1 
63	-63	 1 
63	-66	 1 
63	-69	 1 
63	-72	 1 
60	72	 0 
60	69	 0 
60	66	 0 
60	63	 0 
60	60	 0 
60	57	 0 
60	54	 0 
60	51	 0 
60	48	 0 
60	45	 0 
60	42	 0 
60	39	 0 
60	36	 0 
60	33	 0 
60	30	 0 
60	27	 0 
60	24	 0 
60	21	 0 
60	18	 0 
60	15	 0 
60	12	 0 
60	9	 0 
60	6	 0 
60	3	 0 
60	0	 0 
60	-3	 0 
60	-6	 0 
60	-9	 0 
60	-12	 0 
60	-15	 0 
60	-18	 0 
60	-21	 0 
60	-24	 0 
60	-27	 0 
60	-30	 0 
60	-33	 0 
60	-36	 0 
60	-39	 0 
60	-42	 0 
60	-45	 0 
60	-48	 0 
60	-51	 0 
60	-54	 0 
60	-57	 0 
60	-60	 0 
60	-63	 0 
60	-66	 0 
60	-69	 0 
60	-72	 0 
57	72	 1 
57	69	 1 
57	66	 1 
57	63	 1 
57	60	 1 
57	57	 1 
57	54	 1 
57	51	 1 
57	48	 1 
57	45	 0.862069 
57	42	 0.827586 
57	39	 0.758621 
57	36	 0.706897 
57	33	 0.637931 
57	30	 0.594828 
57	27	 0.560345 
57	24	 0.534483 
57	21	 0.482759 
57	18	 0.482759 
57	15	 0.465517 
57	12	 0.448276 
57	9	 0.431034 
57	6	 0.422414 
57	3	 0.413793 
57	0	 0.413793 
57	-3	 0.413793 
57	-6	 0.431034 
57	-9	 0.439655 
57	-12	 0.448276 
57	-15	 0.465517 
57	-18	 0.482759 
57	-21	 1 
57	-24	 1 
57	-27	 1 
57	-30	 1 
57	-33	 1 
57	-36	 1 
57	-39	 1 
57	-42	 0.818966 
57	-45	 0.87931 
57	-48	 0.922414 
57	-51	 0.948276 
57	-54	 0.974138 
57	-57	 0.991379 
57	-60	 1 
57	-63	 1 
57	-66	 1 
57	-69	 1 
57	-72	 1 
54	72	 1 
54	69	 1 
54	66	 1 
54	63	 1 
54	60	 1 
54	57	 1 
54	54	 1 
54	51	 1 
54	48	 1 
54	45	 0.706897 
54	42	 0.655172 
54	39	 0.577586 
54	36	 0.525862 
54	33	 0.491379 
54	30	 0.448276 
